pick,team,team_img,player,player_details,source,date,team_pick
1,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/assets/logos/titans.svg,Shedeur Sanders,QB | Colorado,Fox Sports,2025-01-06,Pick 1 - Tennessee Titans
2,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/assets/logos/browns.svg,Travis Hunter,CB | Colorado,Fox Sports,2025-01-06,Pick 2 - Cleveland Browns
3,New York Giants,https://d9ioojyvhqpok.cloudfront.net/assets/logos/giants_alt.svg,Cameron Ward,QB | Miami (FL),Fox Sports,2025-01-06,Pick 3 - New York Giants
4,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/assets/logos/patriots.svg,Mason Graham,DL | Michigan,Fox Sports,2025-01-06,Pick 4 - New England Patriots
5,Jacksonville Jaguars,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jaguars.svg,Malaki Starks,S | Georgia,Fox Sports,2025-01-06,Pick 5 - Jacksonville Jaguars
6,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/assets/logos/raiders.svg,Will Johnson,CB | Michigan,Fox Sports,2025-01-06,Pick 6 - Las Vegas Raiders
7,New York Jets,https://d9ioojyvhqpok.cloudfront.net/assets/logos/jets.svg,Abdul Carter,EDGE | Penn State,Fox Sports,2025-01-06,Pick 7 - New York Jets
8,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/panthers.svg,Nic Scourton,EDGE | Texas A&M,Fox Sports,2025-01-06,Pick 8 - Carolina Panthers
9,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/assets/logos/saints.svg,Mykel Williams,EDGE | Georgia,Fox Sports,2025-01-06,Pick 9 - New Orleans Saints
10,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/assets/logos/bears.svg,Will Campbell,OT | LSU,Fox Sports,2025-01-06,Pick 10 - Chicago Bears
11,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/assets/logos/niners.svg,Josh Conerly Jr.,OT | Oregon,Fox Sports,2025-01-06,Pick 11 - San Francisco 49Ers
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/assets/logos/cowboys.svg,Ashton Jeanty,RB | Boise State,Fox Sports,2025-01-06,Pick 12 - Dallas Cowboys
13,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/assets/logos/dolphins.svg,Derrick Harmon,DL | Oregon,Fox Sports,2025-01-06,Pick 13 - Miami Dolphins
14,Indianapolis Colts,https://d9ioojyvhqpok.cloudfront.net/assets/logos/colts.svg,Jalon Walker,LB | Georgia,Fox Sports,2025-01-06,Pick 14 - Indianapolis Colts
